"","year","country","co","type","segment","domestic","firm","brand","loc","qu","pr","princ","price","horsepower","fuel","width","height","weight","pop","ngdp","ngdpe","country1","country2","country3","country4","country5","yearsquared","luxury","logprice","logqu","carspc"
"22",1970,4,406,"audi 60-75",3,0,26,2,4,2469,1310000,1.04639315605164,19.9964408874512,54.5,8.69999980926514,163,145,945,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,2.99555430209057,7.81156848934518,4.60119269474469e-05
"23",1970,4,407,"audi prinz 1000-1200",1,0,26,2,4,4263,950000,0.758834719657898,14.5012359619141,29.5,7,149,136,660,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,2.67423388454661,8.35772841676521,7.94446515095043e-05
"24",1970,4,408,"audi prinz 4",1,0,26,2,4,47854,779000,0.622244477272034,11.8910131454468,22,5.5,149,136,555,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,2.47578291695031,10.7759099879536,0.000891800223630265
"25",1970,4,409,"audi ro 80",4,0,26,2,4,368,2650000,2.11674952507019,40.4508171081543,84.5,11.1999998092651,176,141,1210,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,3.70008684374928,5.90808293816893,6.85799478196049e-06
"26",1970,4,410,"BMW 1502-1600-1602-1802",2,0,2,3,4,1194,1590000,1.27004969120026,24.2704887390137,70.5,9.89999961853027,159,141,930,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,3.18926115711357,7.08506429395255,2.22512113306001e-05
"27",1970,4,411,"BMW 1800-2000",3,0,2,3,4,725,1945000,1.55361425876617,29.6893730163574,75,11,171,144.5,1070,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,3.390789170882,6.58617165485467,1.35109951546776e-05
"28",1970,4,412,"BMW 2002",4,0,2,3,4,2500,1880000,1.50169396400452,28.6971817016602,83,10,159,141,940,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,3.35679891939536,7.82404601085629,4.65896384644055e-05
"29",1970,4,413,"BMW 2500-2800",5,0,2,3,4,1942,3125000,2.49616694450378,47.7014350891113,110.5,10.8999996185303,175,145,1300,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,1,3.86496148316733,7.57147364885127,3.61908311591502e-05
"30",1970,4,417,"citroen ami",1,0,4,4,3,17265,805000,0.643012583255768,12.2878894805908,26,6.40000009536743,152.5,148.5,700,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,2.50861418227233,9.75643660982409,0.000321748043235184
"31",1970,4,418,"citroen d-ds 20",4,0,4,4,3,6780,1550000,1.2380987405777,23.6599102020264,67,10.3999996185303,180.5,147,1210,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,3.16378206319335,8.82173238093444,0.000126351099515468
"32",1970,4,419,"citroen ds 21-23",4,0,4,4,3,2426,2460000,1.96498262882233,37.5505714416504,84.5,10,180.5,147,1280,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,3.62568859624749,7.793999089504,4.52105851658591e-05
"33",1970,4,422,"daf 33",1,0,31,40,8,4106,771000,0.615854322910309,11.7688980102539,23.5,6,144,138,660,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,2.46546028989263,8.32020459757888,7.65188222139396e-05
"34",1970,4,429,"fiat 124",3,1,4,7,5,27358,1130000,0.902613937854767,17.2488384246826,44,8.89999961853027,162.5,142,885,53660000,67177998712832,1099200000,0,0,0,1,0,3880900,0,2.84774480351053,10.2167642696494,0.000509839731643682
